,source,target,edge
0,Godfather,same Mario name,is
1,It,fictional York crime family,stars
2,story,ruthless mafia boss,chronicles
3,few  candidates,position,obtained
4,who,particular  Vito,disagreed over
5,Filming,ahead New schedule,took
